Reason,PHate,Site,PostID,Title,Content,Comments,GalleryID,PostURL,Source,Keyword,Comment
Content Hate,0.9664972882962084,ARCALIVE,154509576,과연 다음주엔 무슨일이 생길까,남캠철구망치부인풍월량카오스불꽃남자대도서관감스트유신최군심형케이러너용느창현남순여캠윰댕꽃빈양띵세야꽃님슈기셀리반소연연빛서윤이설유소나지진뽀뽀우결급식엠생남캠져스해체박근혜최순실꼭두각시하야탄핵손석희당구뉴스타파PD수첩찢에펨코리아욕설보배드림메갈리안여성시대여초루리웹주갤일베뉴커와이고수인스티,,Error,https://arca.live/b/breaking/154509576?target=all&keyword=%EC%86%90%ED%9D%A5%EB%AF%BC+%EA%B2%BD%EA%B8%B0+%EB%B0%98%EC%9D%91&p=1,arca,손흥민 경기 반응,
Content Hate,0.9533448359561892,ARCALIVE,137536789,테라리아 계단 고민중,남캠철구망치부인풍월량불꽃남자대도서관감스트유신최군심형케이러너용느창현남순여캠윰댕꽃빈양띵세야꽃님슈기셀리반소연연빛서윤이설유소나지진뽀뽀우결급식엠생남캠져스해체박근혜최순실꼭두각시하야탄핵JTBC손석희당구뉴스타파PD수첩에펨코리아욕설보배드림메갈리안여성시대여초루리웹주갤일베뉴커와이고수인스티,,Error,https://arca.live/b/breaking/137536789?target=all&keyword=%EC%86%90%ED%9D%A5%EB%AF%BC+%EA%B2%BD%EA%B8%B0+%EB%B0%98%EC%9D%91&p=1,arca,손흥민 경기 반응,
Comment Hate,0.9078766810442528,,108773766,,,,,,,,ㅇㅇ 이번 김도훈 433 시스템은 아무래도 손흥민을 좌윙으로 사용하는 방법으로서 사용됐다고 봄 주민규가 등딱을 해주면서 횡적 움직임이 아닌 종적으로 이득을 볼 수 있게
Comment Hate,0.9098167167642524,,106257542,,,,,,,,맞아맞아 형은 스쿼드 퀄리티가 낮은 팀을 유로파 경쟁에 올려놨지만 아무튼 시즌을 망친 주범이야
Comment Hate,0.8858765337765835,,101824568,,,,,,,,둘이 비교하면 주민규는 수직적인 움직임이 특기고 조규성은 횡적인 움직임이 특기임. 선수가 어딘가 굼뜨면 1차적으로 약속된 움직임이 아예 없어 경기 중에 계속 생각하느라 그런 거임
Comment Hate,0.922338399214599,,73681726,,,,,,,,불편하면 자세를 고쳐앉으시지
