Reason,PHate,Site,PostID,Title,Content,Comments,GalleryID,PostURL,Source,Keyword,Comment
Title Hate,0.9136625625825108,DCINSIDE,1705120,수백만원짜리 이헤드폰을 탄생시킨 사기꾼들과 호구들에게 속지마라,정가 10만원도 안하는 파나소닉 내부 부품 그대로 옮겨다놓고 수백만원에 판 골드문트..... 골드문트사태만 보더라도 제품에 쓰인 부품은 가격과 아무상관이 없지 특히나 100만원대 이상부터는 더더욱..... 50만원 이하 레퍼런스급에서는 어느정도 연관성이 있을수있을거야 ,3줄요약 ||| 피식 - dc App ||| 틀니쉰내 레전드네 ||| 파나소닉 아니고 파이오니아 ||| 와 말투 진짜 병신같다 ||| 사치품에 돈을 쓰던지 말던지 너랑 뭔 상관? 꼬우면 돈 잘벌던가 ||| 피식ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ||| 놀라운 사실 그게 시장경제다  - dc App ||| 븜훗훗 ||| 읽진않았는데 대충 글쓴이 영포티맞나요 ||| 바보 ㅋㅋ  - dc App ||| 와 ||| 그럼 그냥 안쓰믄 댐 ㅋㅋㅋㅋㅋ,헤드폰,https://gall.dcinside.com/mgallery/board/view/?id=newheadphone&no=1705120,dc,HD800,
Content Hate,0.9648337971535168,DCINSIDE,1651777,적절한 합성계획,Hd800 헤드폰 단품+6.3케이블+ 케이스 하우징 상태가 구려서 도색해서빨간색이됨 38+도색 5 총 43만원 Hd800s 눌린 기본패드 알리패드 상태안좋은 하우징 상태 구리 헤드밴드 구리 케이블3가지 빨간하우징먹죽 케이블 하나는 내가 쓰고 Hd800/800s 드라이버,,헤드폰,https://gall.dcinside.com/mgallery/board/view/?id=newheadphone&no=1651777,dc,HD800,
Comment Hate,0.9253384603751622,,148417084,,,,,,,,외이도 상태 안좋음 + 감기로 중이염 걸려서 고막아픔
Comment Hate,0.8834123293004309,,148417084,,,,,,,,그걸로 따졌을때 서스가 내 종착지였는데 qc랑 업체태도가 모든걸 말아먹었다. 진짜 사랑받아 마땅할 기기인데 만든곳이 쓰레기인.
