Reason,PHate,Site,PostID,Title,Content,Comments,GalleryID,PostURL,Source,Keyword
Title Hate,0.8601101000414494,DCINSIDE,45,코스피 반등 준비,"코스피 저PBR 모멘텀 5월 기업 주가 평가? 기업 주가 부양 하면, 인센티브 준다. 2,500-2,700",,koreatravel,https://gall.dcinside.com/mgallery/board/view/?id=koreatravel&no=45&page=1,dc,서해안 여행
Title Hate,0.8601101000414494,DCINSIDE,45,코스피 반등 준비,"코스피 저PBR 모멘텀 5월 기업 주가 평가? 기업 주가 부양 하면, 인센티브 준다. 2,500-2,700",,koreatravel,https://gall.dcinside.com/mgallery/board/view/?id=koreatravel&no=45&page=1,dc,서해 여행
