Reason,PHate,PostID,Comment,Site,Title,Content,Comments,GalleryID,PostURL,Source,Keyword
Comment Hate,0.9089196233682771,647784,골갤빼고 전부 물고빨았지 병신들,,,,,,,,
Title Hate,0.918211206540453,647718,,DCINSIDE,꼬리잡은게 만약 백종원이면,흑백요리사 연기될 수도 있음,,백종원의 골목식당,https://gall.dcinside.com/board/view/?id=bjwstreet&no=647718,dc,흑백요리사
