Reason,PHate,Site,PostID,Title,Content,Comments,GalleryID,PostURL,Source,Keyword,Comment
Content Hate,0.8842905354851276,DCINSIDE,561344,내년롤드컵농킅딮중에 누가갈거같음?,티젠한은 어떻게든 가긴할거같은데,스카웃 올해 꼬라지보면 못가는게 정배긴함 태윤도 잘할지도 모르겠고 킅 아니면 딮 같은데 난 딮이 이길거같음 ||| 고점터지면 농 변수 딮 정배 클,롤 대회,https://gall.dcinside.com/mgallery/board/view/?id=loleague1&no=561344,dc,롤드컵,
Comment Hate,0.8859176872508895,,11623621,,,,,,,,@롤갤러1(58.238) ㅇㅇ
Comment Hate,0.9290961152744788,,155213525,,,,,,,,아 한화도 AL 한테 졌구나 착각했네
Comment Hate,0.8890198313859758,,155204458,,,,,,,,저게 아다리도 기가 막혔던게 라칸 스킬이 사슬 맞으면서 끊겨버려서 라칸이 w쓰는게 아니라 그냥 궁 켰으면 허무하게 막혔을텐데 개쩔었음 진짜
Comment Hate,0.9155456222590926,,155204458,,,,,,,,그와중에 세주 궁도 피하면서 딱 상대 딜러만 물어버리는 미쳐버린 이니시
Comment Hate,0.8908226233839492,,155118367,,,,,,,,구글에 깐부치킨 양 검색해보니 나만 그런거아니더구먼....
