Reason,PHate,PostID,Comment,Site,Title,Content,Comments,GalleryID,PostURL,Source,Keyword
Comment Hate,0.9051274199159456,154678086,내려쳐서 싸게처먹을라고 하거나 구형 올려쳐서 비싸게 팔아야한당께 ㅋㅋㅋㅋㅋ엌ㅋㅋㅋㅋ,,,,,,,,
Comment Hate,0.8893352245915895,154678086,아 ㅋㅋ 그래야 프리셀 없이 크레기통에 매물 올라온다고 ~,,,,,,,,
Comment Hate,0.883696085904963,154460335,컨버스 로우 하나 있고 포스는 밑창 달아있는거 하나 있긴하다,,,,,,,,
Content Hate,0.8837748239939252,154333273,,ARCALIVE,얼굴 좋다고 연애 할 수 있는것도 아니다,장원영 카리나 설윤 윈터 현 아이돌 4대장 ㅇㅇ 근데 나는 프로나인미스에 이채영같은 와꾸가 여자로써 가치를 느끼기에 위의 4명이 사귀고싶다고 아무리 나한테 매달려봤자 연애결혼은 무조건 이채영이랑만 함,잘생긴게이 ||| 채영이가 너 싫대,일본 생활,https://arca.live/b/breaking/154333273?target=all&keyword=%EC%9E%A5%EC%9B%90%EC%98%81&p=1,arca,장원영
Comment Hate,0.8923071179278131,153537749,실패하면 뭐더라? 아무튼 쟤들은 반역자 낙인 찍힘 ㅋㅋ,,,,,,,,
