Reason,PHate,Site,PostID,Title,Content,Comments,GalleryID,PostURL,Source,Keyword,Comment
Title Hate,0.9150969871969185,DCINSIDE,434164,항공모함성희롱을 한번 해보자.,"우리 모두 잊고 있는 사실은... 보통 함선에는 She, 즉 여성형을 쓴다는 사실이다. 이루다는 물건인데, 물건이 여성성이란 이유로, 물건한테 성적인 발언을 한게 문제라면, 함선한테 성적인 발언을 하는것도 성희롱이란 말이 된다. 그러니 이루다 공략법처럼, 항공모함한테도","이거 써와 개꼴린다 ||| 배박이는 이미 깡과 벽람이 있어요 ||| 흐흐흐 영원히 사랑하자던 F-14와 A-6, EA-6까지 모두 F/A-18과 EA-18로 바뀐 기분이 어떻지? 으흐흐흐 ||| 미친놈들아 그만해!!!  It's turning me on!!! ||| 야씨 딴데도 몇군데 돌려봤는데.... 반응이 대체로 별로라.... 몸 상태가 급격히 악화되어 연중공지 때리겠습니다. 니넨 왜 좋아하냐 이 변태새끼들아 ||| 사실 진짜 고맙다. 모든 독자분들은 고마운가봐 ||| 꼴리는 걸 떠나서 너 글 존나 잘쓴다.",웹소설 연재,https://gall.dcinside.com/mgallery/board/view/?id=tgijjdd&no=434164,dc,엔터프라이즈급 항공모함,
Comment Hate,0.9244534328637662,,52081636,,,,,,,,CVN-65 스크랩 처리 되면서 녹인 선체 일부로 제럴드 R. 포드급 CVN-80 엔터프라이즈 용골 만드는중임
Content Hate,0.9030865000942206,ARCALIVE,43252569,미사일 구축함 나만 맘에 안드냐,왜 아예 엔터프라이즈급 항공모함 USS 엔터프라이즈도 내놓지그래,,벽람항로,https://arca.live/b/breaking/43252569?target=all&keyword=%EC%97%94%ED%84%B0%ED%94%84%EB%9D%BC%EC%9D%B4%EC%A6%88%EA%B8%89+%ED%95%AD%EA%B3%B5%EB%AA%A8%ED%95%A8&p=1,arca,엔터프라이즈급 항공모함,
