Reason,PHate,PostID,Comment,Site,Title,Content,Comments,GalleryID,PostURL,Source,Keyword
Comment Hate,0.8936210334385124,155214528,연구원이 펭귄보다 지위가 낮을건데??,,,,,,,,
Title Hate,0.9278529743758754,648570,,DCINSIDE,백종원원래 빤놈들이 더 깐다는 초식은 누가 만든거냐?,골목식당때부터 내로남불로 원래부터 존나 싫어했는데 어떤 좆같은 관심법부리는 새끼가 만든 초식임?,,백종원의 골목식당,https://gall.dcinside.com/board/view/?id=bjwstreet&no=648570,dc,백종원
Comment Hate,0.9476168083690748,5414131,백종원 집안부터가 보수쪽인데 뭔 개소리?  - dc App,,,,,,,,
Content Hate,0.9571892750047434,155063297,,ARCALIVE,백종원이 이미지 세탁할 방법이 없던것도 아니라는게 우스움,"그냥 솔직히 말해서 1. 자기 돈으로 식자재 잔뜩 챙겨가서 2. 치킨난반같은거 하지 말고 그냥 한식 조리했으면 적어도 ""세탁하느라 애쓴다 ㅉㅉ"" 소리는 들었을지언정 욕은 안먹었음. ""아니 그 먼 남극까지 식재료 들고가는 돈이 한두푼이냐 왜 자선사업 하라고 하냐""라고 누",ㄹㅇ 분명 세탁 기회가 있었는데 그걸 지 발로 차버린 거 ||| 왜냐하면 저건 본인논란 이렇게 커지기 전에 한거라 그럼. ||| 뭘해도 욕먹었을거같은데 상장했을때부터 지금까지 이미 스노우볼 오지게 굴러가서 가불기 걸린듯 ||| 남극에 식재료 못가져간다는데...왜굳이 거길 기어들어 잘먹고있는사람들 분탕치냐... ||| 처음부터 못 갖고 들어가는 거였음? 그럼 진짜 문제네 ㅋㅋㅋㅋㅋㅋ ||| ㅇㅇ 존나 철처히 검수하고 겨우가져갈수있음 ||| 보면 원래 편수는 훨씬 많았는데 편집되서 짤린게 자기 밀키트랑 냉동식품 잔뜩 들고가서 한식이라면서 홍보할려고 한거 다 편집되서 짤리고 나니깐 한식이라면서 치킨난반이 나왔다는 설이 있음 정작 그 치킨난반마저도 PPL이였고 ||| 뒷사정 알고 나니 더 한심하군,유렉카,https://arca.live/b/breaking/155063297?target=all&keyword=%EB%B0%B1%EC%A2%85%EC%9B%90&p=1,arca,백종원
Comment Hate,0.9168703555394956,155059849,방송접고 서서히 망하는길 vs 방송으로 한방역전을 노리는것에서 후자를 택한듯,,,,,,,,
Comment Hate,0.8884764215285427,155040476,보기만해도 짜증나는 면상,,,,,,,,
