Reason,PHate,Site,PostID,Title,Content,Comments,GalleryID,PostURL,Source,Keyword,Comment
Content Hate,0.9298163272540153,DCINSIDE,501249,기묘한 이야기5 4화 마지막에 윌 각성할때,일레븐처럼 초능력 사용해서 데모고르곤 죽이고 코피도 남,제목에 스포를 대놓고 하네 일부러 그러는건가,netflix,https://gall.dcinside.com/mgallery/board/view/?id=netflix&no=501249&page=1,dc,흑백요리사,
Title Hate,0.894532468667899,DCINSIDE,501240,고시원새끼들 왤케 존재감없이 걸어다님?,걷는것도 미끄러지듯이 닌자마냥 갑툭튀하는데 ㅈㄴ 깜놀한다고 전에 살던데도 이러는거보면 걍 종특인가봄?,고시원이 마치 벌집처럼 작은 방이 밀집해 있는 데 아님? 왜 존재감 없이 걸어다니는 지는 3초만 생각해봐도 알 수 있지 않을까.. ||| 고시원은 조용히 다니는게 기본인데 이 색히는 기본을 모르고 왜 조용히 다니냐고 하고 있네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,netflix,https://gall.dcinside.com/mgallery/board/view/?id=netflix&no=501240&page=1,dc,흑백요리사,
Comment Hate,0.9580644138985862,,501233,,,,,,,,우리나라는 이런 장르는 잘 안맞어 아예 크리쳐물이거나 아예 배틀로얄이여야 우리나라 사람들이 보지
