Reason,PHate,Site,PostID,Title,Content,Comments,GalleryID,PostURL,Source,Keyword,Comment
Title Hate,0.9297563340623792,ARCALIVE,146272292,5월 유입 뉴비 명조 접는다,24년 5월 유입 뉴비 챈평균 백만클럽 드디어 가입했다 아우구스타? 내일 나온다는데 필수캐인가요??ㅠㅠ,필수니까 무조건 풀돌해야함 ||| 풀돌 필수래 ||| 네 저한테 주시면 제가 대신 뽑아드릴게요,명조,https://arca.live/b/breaking/146272292?target=all&keyword=%EB%AA%85%EC%A1%B0+%ED%95%84%EC%88%98%EC%BA%90&p=1,arca,명조 필수캐,
Comment Hate,0.9053339269135032,,140629439,,,,,,,,"겜 망하라고 그렇게 엮어서 캐릭 이미지에 흠집내는 경우도 있음 특히 유남불완쪽 심연 들여다보면, 자칭 페미랑 싸우는 사이버전사라는 놈들이 명조에서 남캐 계속 낸다고 자기 말 안들어주는 남성향겜이라며 브렌트랑 온갖 여캐들 다 엮고 있더라 난 이거보고 남캐랑 여캐랑 엮는짓은 성향 떠나서 아예 겜 자체를 사보타주하려는 행위로 보는 것도 이상할 거 없다고 생각함"
Comment Hate,0.9179963939824228,,136040825,,,,,,,,케릭의 죽이는 서사나 외모만으로는 절대로 안팔림 파수인이 능양닦개였으면 안팔렸음 100% 특정케릭의 파츠거나 지리는 범용성능이거나 개지리는 메인딜이어야함
