Reason,PHate,Site,PostID,Title,Content,Comments,GalleryID,PostURL,Source,Keyword
Title Hate,0.9084216747494435,DCINSIDE,8061693,하투하 신인상 받은거 안쳐맞음?,슴소속이라 넘어감? 아니 올데프가 하투하보다 훨 받을만 함,ㄴㄴ 하투하가 정배였음 ||| 지랄하네 슴창아 ㅋㅋㅋㅋㅋ ||| @걸갤러3(221.156) 내가 왜 슴창이야 ||| @걸갤러3(221.156) ㅋㅋ 점수가 높긴했는데 난 솔직히 키키가 더 흥한거 아닌가 했지만... 슴이 푸쉬해줘서 누른거라고 느껴짐 대형이니까 어쩔수는 없는데 뭔가 드라마틱한 신인상 느낌이 아니라서 ||| 당연히 받을거래ㅋ ||| 역시 슴창은 양심없어 ||| 코르티스에 빌붙어서 올데프퀴 패고잇음 ||| 기준이 누적이라 맞긴함 올데프 너무 못팔앗음 ||| 대기업 음반사재기보다 심사 40프로임 주고자 하면 주는데 슴적폐라 가져간거잖아 뭔 하투하가 신인상이야,걸스플래닛999,https://gall.dcinside.com/board/view/?id=grsgills&no=8061693,dc,올데프
Title Hate,0.923546226023708,DCINSIDE,8061587,트위터서올데프팬들 나대다가 개쳐맞노,신인상 자기꺼라고 우기다가 ㅋㅋㅋㅋ,하투하같은것보다 받아야 하지 하추하가 뭔 신인상이야 슴적폐지 ||| 신인상 나도 올데프라 생각함 신인중에 걔들보다 히트친게 어디 있어,걸스플래닛999,https://gall.dcinside.com/board/view/?id=grsgills&no=8061587,dc,올데프
