Reason,PHate,Site,PostID,Title,Content,Comments,GalleryID,PostURL,Source,Keyword,Comment
Content Hate,0.8880997915517865,ARCALIVE,154899099,"삼성전자, 2나노 사활 걸었다…OSAT ""엑시노스 수율 50% 넘었다""",->  초도 수율 40~50%…공정 안정화 총력 업계 “2600 성과가 2나노 레퍼런스 좌우” .... 25일 삼성전자와 긴밀한 OSAT(후공정외주업체)를 포함한 반도체 전반의 취재를 종합하면 삼성전자의 엑시노스 2600 수율은 초도 기준 40~50% 수준으로 파악된다,"기사는 믿지 않는다 결과만이 모든걸 보여주겠지 ||| 3나노 안정화도 확실치 않은데 2나노가? ||| 말만 2nm지 사실상 3nm라고함 ||| 아 보니까 3nm의 하프노드 개선 공정이네  TSMC 2nm는 풀노드급 개선 아니었나? ||| SF3P(3나노 3세대) = SF2고  대외적으로 발표난 성능 향상폭이 성능 5%, 전력 효율 8% 개선인데 동세대 TSMC N3E -> N3P 성능 향상폭하고 비슷한 수치입니다  TSMC N2는 N3E 대비 성능 18%, 전력 효율 36% 향상이라 삼파랑 꽤나 격차 크죠 ||| 사활을 너무 걸어서 오히려 기대가 안된다 이놈들아 ||| 매번 사활 이러면 믿겠냐고 ㅋㅋㅋ",스마트폰,https://arca.live/b/breaking/154899099?target=all&keyword=%EA%B0%A4%EB%9F%AD%EC%8B%9C+S25%2B&p=1,arca,갤럭시 S25+,
Comment Hate,0.9039241005796902,,154883373,,,,,,,,파워앰프 저런 버그 좀 있어서 나는 wavelet 씀. squing에서 peq 만든다음 wavelet 전용 txt로 뽑아서 그래픽 eq적용시키면 됨
Comment Hate,0.9079218011288838,,154810467,,,,,,,,샘플폰 점수를 기준으로 보면 기커완 원플이 가장 가깝긴해 그냥 최적화가 덜됐거나 발열 억제하려고 보수적으로 세팅했을 가능성이 높아보이는데
Comment Hate,0.8951284310418076,,154810467,,,,,,,,램업글이랑 ufs 4.1 업글도 무시못해서 그냥 s26갈듯 ㅇㅇ
Comment Hate,0.920447071240822,,154616534,,,,,,,,ㅇㅇ 애매하게 fe사지말고 플래그십으로 가라는거
Comment Hate,0.9629657151921738,,154415404,,,,,,,,제미나이 프로인 상태로 이미지 생성 요구하면 그냥 나노바나나2로 뽑아주는 거임?
Comment Hate,0.8834526417828945,,154415404,,,,,,,,내 친구는 회계쪽인데 회계 문서를 자동화하려고 하거나 정보 탐색용으로 사용함.
Comment Hate,0.9142837554440943,,154415404,,,,,,,,"당연히 받아는놨지 LLM이랑 이미지생성, 동영상생성 전부 로컬로 쌀먹하고 있음 ㅋㅋㅋㅋ 원래 옛날부터 검색하는거 좋아해서 기사고 논문이고 사례고 스스로 찾는데 별 문제 없는데 시험삼아 ai 유료 서비스 똑같이 검색하고 답내놓으라고 하면 하나같이 개소리 존나함  이거 근데 게임이고 ai서비스고 몇년만 지나면 OTT나 배달플랫폼 구독은 아무것도 아닌수준으로 쥐어짜일거같음 요새 커뮤에 뇌빼고 질문글에 ai 답변 긁어와서 헛소리 답변 다는새끼, ai 답변으로 키배뜨는새끼 보면 꿀밤 존나마려운데 ㄹㅇ 몇년있으면 걍 사고 ai 위탁한 새끼 천지될거같음"
Comment Hate,0.9313862675119686,,154415404,,,,,,,,퍼블렉시티로 바나나 사용 가능?
Comment Hate,0.9112861380751976,,154413286,,,,,,,,리포배터리 내장이라 충전식이고  충전중엔 사용 안되더라
