Reason,PHate,PostID,Comment,Site,Title,Content,Comments,GalleryID,PostURL,Source,Keyword
Comment Hate,0.9339796859271072,152699866,백종원을 옹호하는 그건 아니고 셰프 << 단어가 그냥 대충 동네서 요리사 두고 주방 돌리면 셰프일건데 맨날 피에르코프만이 어쩌니 하는게 아니꼬움,,,,,,,,
Content Hate,0.8921659755688757,90723,,DCINSIDE,안성재는 왜 안나오냐?,지면 개쪽팔려서?,쓰리스타가 ㅈ으로 보이냐 고트다 ||| 이미 천상계 손종원 흑백나가서 털렸다는 소리가 있더라,냉장고를 부탁해,https://gall.dcinside.com/board/view/?id=janggo&no=90723,dc,안성재
Comment Hate,0.8988148984994565,4160678,캡처완료 잘가라,,,,,,,,
