Reason,PHate,Site,PostID,Title,Content,Comments,GalleryID,PostURL,Source,Keyword,Comment
Content Hate,0.9508406700127378,ARCALIVE,154426618,그래서 이 ^그 긴거^도 옛날?꺼임?,^나치찬양페미나치선언6.25참전용사비하518민주화운동비하광복절에독립운동가모욕6.25전쟁고기파티발언윤봉길의사안중근의사사진합성및모욕독립운동가에게독립나치발언세종대왕비하백남기농민모독독도일본땅발언국민청원서명수조작IS및이슬람극단주의옹호및찬양천안함사건비하발언청와대폭탄테러예고올랜도총기난사사건피해자비하평택아동암매장살인사건희생자비하구의역스크린도어정비업체직원사망사고희생자비하시위중인커플모욕김주혁배우사망비하김종헌가수고인모독여자징집대신소년병징집청원제천스포츠센터화재사고희생자및소방관모욕오패산터널총격사건순직경찰비방k-9자주포폭발사고피해장병모욕세살배기애앞에서동화책찢어버리기제국의아이들팬덤에의한사이버공격및여론조작SEKAINOOWARI입국관련허위사실유포아이유부동산투기의혹선동주도및명예훼손TWICE사나일본연호사용논란선동주도및명예훼손이천경찰자살사건관련허위사실유포및명예훼손드라마쌍갑포차관련허위사실유포드라마철인왕후허위사실유포및신혜선에대한명예훼손드라마설강화snowdrop허위사실유포및출연진에대한명예훼손윤석열청부살인모의이하늘김구라관련허위사실유포부산롯데월드불법촬영누명가해참여진명여자고등학교군인조롱관련성범죄자악플러옹호이태원압사사고관련허위사실유포2701호논란관련허위사실유포신카이마코토혐한허위사실유포회원개인정보유출사건천주교성체훼손세월호사고희생자모욕해병대헬기추락사고희생자생존자비하보겸인삿말보이루몰아가서보겸인생망쳐놓음고양백석동온수배관사고사망자비하청해부대최종근하사조롱강릉펜션일산화탄소누출사고희생자비하청해부대최영함순직자비하살인사건피의자고유정옹호및피해자비하진명여고군인조롱해병대일병사망사고비하부동액살인방법공유직장상사커피에락스타기어린남자아이들무조건살해해야한다발언아버지를살인미수버스내살인미수남아낙태인증일산아파트아동유괴예고호주아동성폭행아버지시체도굴주장현실트럭말고사이버트럭보내기성남어린이집성폭행사건가해아동살해예고워마드사제독살시도남고생물병으로기절후성고문했다고글작성2살배기어린아이무라카타노노카노래이슈화되자조리돌림및총살마렵다발언남탕몰카남자아기성기사진유포홍익대누드크로키수업도촬사건남자화장실몰카공유남고샤워실몰카공유전남친자위영상공유크로스드레서트젠사진무단유출및아우팅아동포르노공유전철임산부석에탄남자사진찍고유포김윤태모욕성합성사진유포신도림역무슬림몰카남탕몰카신림남자화장실몰카잠실성당남자화장실몰카아동폭행인증한남충은위안부가해자다급발언종북콘서트숭실대조만식기념관몰카발각김풍박준우인스타테러9호선도촬남누명씌우기티파니욱일기게시사건옹호넥슨시위기부물품횡령5개월동안돈주고구독한구독자가의의를제기하자기자신분으로애초에주제는팩트공방이아니다선언아주옛날에고문관으로제대했고총기번호기억안난다실컷혐오하며현실분탕쳐놓고이제와서지침회의감표현출처가조회수4짜리주작칼부림게시글남자로일반화해서기사투고애들살리는기부방해운동북한을주적이아니라고정의함으로써헌법부정1인트럭시위에경찰부름어린이재단기부자소아성애발언넥슨법무팀뿌리스튜디오향해칼부림기사북한기습남침희망남자가로리빠는건안되고여자가로리빠는건된다내로남불덱스메이드인어비스시청한다하자소아성애로몰아가기당근칼든남자초딩한남유충뒤져라발언미혼모시설기부하는것은성범죄자형량감축시도기부거부발언열심히옹호해놓고주류아니었다꼬리자르기프로젝트문이름으로장례식장구글맵등록한국여성혐오반대협회기부금먹튀블루아카이브페도직원감싸고게임곳곳에일베요소숨겼다고무근거날조선동및남초사이트=맘에안들면칼부림하는사이트정의티켓싹쓸이후되팔렘옹호여고딩코스어의애들살리는기부조리돌림및온갖인신공격시전기부는역겨운행위발언커뮤남자들이페미인식을악마화시킨다발언학생기부금긴빠이일본여행갔더니한국에흔히있던여혐이싹일절하나도없어서정신병이나았어요메벤1억기부긴빠이나무위키아줌마항목혐오단어로날조및사용지향발언이후변경하려다토론걸리고개발리자개조팔한남위키발언후쫄튀공익신고자보호법위반뿌리사태는원청인넥슨의갑질발언BTS의니가는집게손과동일하다는기사투고은근슬쩍스리슬쩍원화가의더이상논리에맞지않는소수의악성민원에귀를기울이지않길바랍니다입장문국회의원테러협박테러신고자추적생후3일딸살해후냉장고에얼려서유기차량뒤아이보호(유충보호)붙이는거이해불가능북한도안하는원청작업물에사상숨기기피해자인넥슨을향해총640페이지에달하는젠더혐오를멈춰달라며혐오발언을500개넘게담은고객의소리보내기집게손이라고계속우겨놓고직접몇초의메갈손이라고인정여성시대를지키는것은대한민국을지키는것메남이라는신조어로메이플남자조리돌림BTS진을향해군무새메남한남조리돌림이젠하다하다카제나로넘어가기원작자가현업도망치며열심히만들어놓은원안강제폐기군데군데은근슬쩍스리슬쩍페미상징월계관집어넣기성남IP유동으로여론조작시도주인공을영포티병신함장만들기특정캐릭터를인육먹는병신으로만들어서케이크버스사상집어넣기BL소설에자주나오는남이먹고있는양파를먹는요소를남성향게임에은근슬쩍스리슬쩍집어넣기중섭일섭에있는요소한섭엔안넣어서탄압하기스토어평점조작하기매출조작하기공크푸대접으로공크가렉카로각성또또발견되는은근슬쩍스리슬쩍집게손가락현재스토리작가대부분이트위터에서OnlyBL러버에팔로우도BL에다가림버스꼴페미도팔로우환민오빠랑사상같은씨발롬도엮여있기여캐가슴너프하고남캐가슴근육버프하기멀쩡한노아라는여캐지들사상에자캐딸하려고남캐에다주인공NTR하는씨발롬만들기유키일러너프젖너프고양이는왜있냐하니고양이출현확률을너프해서기싸움시전원안은어D.에다른건다클뜯하라고시키다가루이스원안발견되니바로클뜯403닫아버리기유키출시일러손가락집게손구름도집게손KV갤가서지들이존나흠씬패놓은1대스작감기도령내려.치기^ 이거 옛날거임?,이정도면 최신인듯? 어제 대 파묘 시대 이후로 뭐 그렇게까지 큰 게 없었으니까 ||| 있을 건 다 있네 ||| 현재진행형,붕괴3rd,https://arca.live/b/breaking/154426618?target=all&keyword=%EA%B0%95%EB%A6%89+%EC%97%AC%ED%96%89&p=1,arca,강릉 여행,
Content Hate,0.9489009591354602,ARCALIVE,154306111,아.... 그저!!!,^ 나치찬양페미나치선언6.25참전용사비하518민주화운동비하광복절에독립운동가모욕6.25전쟁고기파티발언윤봉길의사안중근의사사진합성및모욕독립운동가에게독립나치발언세종대왕비하백남기농민모독독도일본땅발언국민청원서명수조작IS및이슬람극단주의옹호및찬양천안함사건비하발언청와대폭탄테러예고올랜도총기난사사건피해자비하평택아동암매장살인사건희생자비하구의역스크린도어정비업체직원사망사고희생자비하시위중인커플모욕김주혁배우사망비하김종헌가수고인모독여자징집대신소년병징집청원제천스포츠센터화재사고희생자및소방관모욕오패산터널총격사건순직경찰비방k -9자주포폭발사고피해장병모욕세살배기애앞에서동화책찢어버리기제국의아이들팬덤에의한사이버공격및여론조작SEKAINOOWARI입국관련허위사실유포아이유부동산투기의혹선동주도및명예훼손TWICE사나일본연호사용논란선동주도및명예훼손이천경찰자살사건관련허위사실유포및명예훼손드라마쌍갑포차관련허위사실유포드라마철인왕후허위사실유포및신혜선에대한명예훼손드라마설강화snowdrop허위사실유포및출연진에대한명예훼손윤석열청부살인모의이하늘김구라관련허위사실유포부산롯데월드불법촬영누명가해참여진명여자고등학교군인조롱관련성범죄자악플러옹호이태원압사사고관련허위사실유포2701호논란관련허위사실유포신카이마코토혐한허위사실유포회원개인정보유출사건천주교성체훼손세월호사고희생자모욕해병대헬기추락사고희생자생존자비하보겸인삿말보이루몰아가서보겸인생망쳐놓음고양백석동온수배관사고사망자비하청해부대최종근하사조롱강릉펜션일산화탄소누출사고희생자비하청해부대최영함순직자비하살인사건피의자고유정옹호및피해자비하진명여고군인조롱해병대일병사망사고비하부동액살인방법공유직장상사커피에락스타기어린남자아이들무조건살해해야한다발언아버지를살인미수버스내살인미수남아낙태인증일산아파트아동유괴예고호주아동성폭행아버지시체도굴주장현실트럭말고사이버트럭보내기성남어린이집성폭행사건가해아동살해예고워마드사제독살시도남고생물병으로기절후성고문했다고글작성2살배기어린아이무라카타노노카노래이슈화되자조리돌림및총살마렵다발언남탕몰카남자아기성기사진유포홍익대누드크로키수업도촬사건남자화장실몰카공유남고샤워실몰카공유전남친자위영상공유크로스드레서트젠사진무단유출및아우팅아동포르노공유전철임산부석에탄남자사진찍고유포김윤태모욕성합성사진유포신도림역무슬림몰카남탕몰카신림남자화장실몰카잠실성당남자화장실몰카아동폭행인증한남충은위안부가해자다급발언종북콘서트숭실대조만식기념관몰카발각김풍박준우인스타테러9호선도촬남누명씌우기티파니욱일기게시사건옹호넥슨시위기부물품횡령5개월동안돈주고구독한구독자가의의를제기하자기자신분으로애초에주제는팩트공방이아니다선언아주옛날에고문관으로제대했고총기번호기억안난다실컷혐오하며현실분탕쳐놓고이제와서지침회의감표현출처가조회수4짜리주작칼부림게시글남자로일반화해서기사투고애들살리는기부방해운동북한을주적이아니라고정의함으로써헌법부정1인트럭시위에경찰부름어린이재단기부자소아성애발언넥슨법무팀뿌리스튜디오향해칼부림기사북한기습남침희망남자가로리빠는건안되고여자가로리빠는건된다내로남불덱스메이드인어비스시청한다하자소아성애로몰아가기당근칼든남자초딩한남유충뒤져라발언미혼모시설기부하는것은성범죄자형량감축시도기부거부발언열심히옹호해놓고주류아니었다꼬리자르기프로젝트문이름으로장례식장구글맵등록한국여성혐오반대협회기부금먹튀블루아카이브페도직원감싸고게임곳곳에일베요소숨겼다고무근거날조선동및남초사이트=맘에안들면칼부림하는사이트정의티켓싹쓸이후되팔렘옹호여고딩코스어의애들살리는기부조리돌림및온갖인신공격시전기부는역겨운행위발언커뮤남자들이페미인식을악마화시킨다발언학생기부금긴빠이일본여행갔더니한국에흔히있던여혐이싹일절하나도없어서정신병이나았어요메벤1억기부긴빠이나무위키아줌마항목혐오단어로날조및사용지향발언이후변경하려다토론걸리고개발리자개조팔한남위키발언후쫄튀공익신고자보호법위반뿌리사태는원청인넥슨의갑질발언BTS의니가는집게손과동일하다는기사투고은근슬쩍스리슬쩍원화가의더이상논리에맞지않는소수의악성민원에귀를기울이지않길바랍니다입장문국회의원테러협박테러신고자추적생후3일딸살해후냉장고에얼려서유기차량뒤아이보호(유충보호)붙이는거이해불가능북한도안하는원청작업물에사상숨기기피해자인넥슨을향해총640페이지에달하는젠더혐오를멈춰달라며혐오발언을500개넘게담은고객의소리보내기집게손이라고계속우겨놓고직접몇초의메갈손이라고인정여성시대를지키는것은대한민국을지키는것메남이라는신조어로메이플남자조리돌림BTS진을향해군무새메남한남조리돌림이젠하다하다카제나로넘어가기원작자가현업도망치며열심히만들어놓은원안강제폐기군데군데은근슬쩍스리슬쩍페미상징월계관집어넣기성남IP유동으로여론조작시도주인공을영포티병신함장만들기특정캐릭터를인육먹는병신으로만들어서케이크버스사상집어넣기BL소설에자주나오는남이먹고있는양파를먹는요소를남성향게임에은근슬쩍스리슬쩍집어넣기중섭일섭에있는요소한섭엔안넣어서탄압하기스토어평점조작하기매출조작하기공크푸대접으로공크가렉카로각성또또발견되는은근슬쩍스리슬쩍집게손가락현재스토리작가대부분이트위터에서OnlyBL러버에팔로우도BL에다가림버스꼴페미도팔로우환민오빠랑사상같은씨발롬도엮여있기여캐가슴너프하고남캐가슴근육버프하기멀쩡한노아라는여캐지들사상에자캐딸하려고남캐에다주인공NTR하는씨발롬만들기유키일러너프젖너프고양이는왜있냐하니고양이출현확률을너프해서기싸움시전원안은어D.에다른건다클뜯하라고시키다가루이스원안발견되니바로클뜯403닫아버리기유키출시일러손가락집게손구름도집게손KV갤가서지들이존나흠씬패놓은1대스작감기도령내려.치기^ 존나기네 애미,저거 탬플릿이지? 너가 쓴거야? ||| 템플릿 예전에 쓰던거 있길래 집어와서 뒤에내가 500자정도 추가함 ||| ㅅㅂ 그나마 기존 탬플릿 있던거 가져와도 최소 500자는 더 추가해야 현재 상황이라는게 어이가 없네 ||| 팩트는 500자도 최대한 페미부분만 절제해서 넣은거라는거임... 논란 다 넣으면 2천자 더 추가해야한다는거임.... ||| ㅅㅂ 존나 기네 병신겜 ㅋㅋㅋㅋㅋㅋㅋㅋ ||| 광기노.. ||| 존나 기네;; ||| ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ ||| 거 어둠의 팔만대장경도 아니고;; ||| 아주 그냥 그 긴거로 비석도 만들겠다ㅋㅋㅋㅋㅋ ||| 씨발 존나 기노ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ||| 페미대왕릉비 ㅋㅋㅋㅋ ||| 글자크기 작게해서 빼곡하게 만들면 더 이펙트있을듯? ||| ㅇㅋ ||| 수정완 ||| 멋져 ||| ^그 긴거^ ||| 시발 뭐가 더 늘었어 ||| 조온나 기네 씨발 ㅋㅋㅋㅋㅋㅋ ||| 뭔 마법천자문도 아니고 ㅈㄴ 기네ㅋㅋㅋㅋㅋ ||| 진짜 존나 기네,붕괴3rd,https://arca.live/b/breaking/154306111?target=all&keyword=%EA%B0%95%EB%A6%89+%EC%97%AC%ED%96%89&p=1,arca,강릉 여행,
Comment Hate,0.8722317804736263,,152561064,,,,,,,,듣기로 객차는 현재 E train인지 자전거 거치대가 있는 관광열차로만 사용되고 있다고...
Comment Hate,0.9307714148815068,,152561064,,,,,,,,ㅇㅇ 그래서 바깥의 편의점 같은 데서 간단한 간식거리나 음료 등을 구입하고 탑승하는 경우가 많아졌긴 한데... 한편으로는 '밀폐된 실내에서 음식 냄새 풍기면서/부스럭거리고 쩝쩝거리며 취식하는 게 불편하다'는 요지로 종종 구설수가 생긴 것도 있긴 함.  우한폐렴 사태 때는 다들 마스크 쓰고 다니다 보니 그러지도 못했던 것으로 기억하고.
Comment Hate,0.8626749688523273,,147346299,,,,,,,,당빠 숙박은 안되지.. 찜질방이든 어디든 찾아가서 쉴거임.
