Reason,PHate,Site,PostID,Title,Content,Comments,GalleryID,PostURL,Source,Keyword,Comment
Content Hate,0.8685991886812912,ARCALIVE,155092108,결과,당첨 되신 두 사람 댓으로 오픈톡 링크 주삼 45분까지 @환타메론소다 @후루룽#14505694,뭔지는 모르겠지만 나눔추 ||| 안오면 2회차 달림 ||| 와이게되네 ||| 오픈톡 링크 주삼,승리의 여신 니케,https://arca.live/b/breaking/155092108?target=all&keyword=%EB%A9%94%EB%A1%A0%EC%86%8C%EB%8B%A4&p=1,arca,메론소다,
Comment Hate,0.8759776414577976,,155067669,,,,,,,,스팀에 내놓은거 말아먹어놓고 또 ? ㅋㅋ
Comment Hate,0.918293375641229,,155067669,,,,,,,,개추억돋네ㅋㅋㅋㅋ PC방에 아재들 담배물면서 빨콩날리는게 생각나누
Comment Hate,0.931923136808206,,155067669,,,,,,,,밸리 빨콩전은 진짜 살떨리는 판이었지  더블파이어+증폭 빨콩 직격으로 쳐맞으면 일단 뒤지는거니까
Title Hate,0.8804143334760818,ARCALIVE,154580423,(무료) 물건을 소환하여 잡을수있는 딸깍툴 Grab item Setup,대딸깍 시대에 걸맞게 겁나 쉽게 물건을 소환하고 손에 잡을수있는 에셋이 있더라고 바로 공유할께  정말 대 딸각 시대에 걸맞은 툴이야 사용방법도 유튜브 2분만 보면 할수있을정도로 매우 쉽고 준비물이라면 모듈러 아바타만 있으면 된단다.,,승리의 여신 니케,https://arca.live/b/breaking/154580423?target=all&keyword=%EB%A9%94%EB%A1%A0%EC%86%8C%EB%8B%A4&p=1,arca,메론소다,
Comment Hate,0.8557840419175631,,154529521,,,,,,,,민통선쪽은 민간인 잘없긴하겠다 우린 근방이 시내라 ㅅㅂ
Comment Hate,0.8609171466526238,,1281519,,,,,,,,렌 기업세였구나
Comment Hate,0.8988148984994565,,1523985,,,,,,,,배 가를게
Comment Hate,0.901238826545624,,5761967,,,,,,,,그건 쓰레기 소주도 ㅋ - dc App
Comment Hate,0.8536320683336435,,5761967,,,,,,,,민초맛을 먹어하 뱅붕게이 - dc App
